points_from,points_to,juror_a_ranking,juror_b_ranking,juror_c_ranking,juror_d_ranking,juror_e_ranking,jury_rank,televoting_rank
Israel, Moldova,11,21,18,9,10,14th,21st
Israel, Norway,21,17,15,15,14,19th,11th
Israel, Portugal,22,9,20,12,16,16th,19th
Israel, Russia,5,8,6,3,4,7 points 4th,10 points 2nd
Israel, San Marino,16,15,19,18,24,20th,16th
Israel, Serbia,19,20,22,19,20,22nd,18th
Israel, Spain,23,19,21,24,21,23rd,24th
Israel, Sweden,14,23,9,16,7,13th,13th
Israel, Switzerland,1,1,1,4,1,12 points 1st,6 points 5th
Israel, The Netherlands,18,13,13,17,22,18th,22nd
Israel, Ukraine,2,14,5,10,13,4 points 7th,12 points 1st
Israel, United Kingdom,25,25,25,25,25,25th,25th
Italy, Albania,20,18,14,20,25,21st,10 points 2nd
Italy, Azerbaijan,15,22,24,23,11,20th,18th
Italy, Belgium,7,3,6,3,13,5 points 6th,20th
Italy, Bulgaria,23,24,8,13,7,14th,15th
Italy, Cyprus,19,15,12,8,19,15th,21st
Italy, Finland,1,10,3,4,3,10 points 2nd,8 points 3rd
Italy, France,12,1,15,12,10,3 points 8th,1 point 10th
Italy, Germany,14,25,23,25,17,22nd,17th
Italy, Greece,17,16,17,10,21,17th,22nd
Italy, Iceland,8,2,4,2,6,8 points 3rd,6 points 5th
Italy, Israel,13,4,5,7,15,4 points 7th,19th
Italy, Lithuania,5,8,1,1,1,12 points 1st,5 points 6th
Italy, Malta,3,12,2,6,2,7 points 4th,14th
Italy, Moldova,22,17,20,18,24,23rd,2 points 9th
Italy, Norway,4,11,10,9,8,2 points 9th,11th
Italy, Portugal,2,9,7,5,4,6 points 5th,16th
Italy, Russia,9,6,16,19,12,11th,7 points 4th
Italy, San Marino,11,5,22,15,20,13th,3 points 8th
Italy, Serbia,25,23,19,17,23,25th,4 points 7th
Italy, Spain,21,14,13,22,18,19th,24th
Italy, Sweden,10,20,9,11,9,12th,13th
Italy, Switzerland,24,21,21,21,16,24th,12th
Italy, The Netherlands,16,19,11,16,14,16th,23rd
Italy, Ukraine,6,7,25,24,5,1 point 10th,12 points 1st
Italy, United Kingdom,18,13,18,14,22,18th,25th
Latvia, Albania,17,23,22,23,17,23rd,24th
Latvia, Azerbaijan,15,24,15,12,22,20th,12th
Latvia, Belgium,9,8,10,6,19,12th,13th
Latvia, Bulgaria,11,17,3,13,3,5 points 6th,15th
Latvia, Cyprus,21,22,24,25,25,25th,20th
Latvia, Finland,12,5,5,7,8,4 points 7th,8 points 3rd
Latvia, France,6,7,9,11,4,3 points 8th,3 points 8th
Latvia, Germany,24,20,14,10,11,17th,18th
Latvia, Greece,13,18,16,15,6,14th,16th
Latvia, Iceland,7,3,2,4,1,10 points 2nd,5 points 6th
Latvia, Israel,19,19,18,20,16,21st,19th
Latvia, Italy,2,4,11,2,12,8 points 3rd,7 points 4th
Latvia, Lithuania,5,2,19,3,10,6 points 5th,12 points 1st
Latvia, Malta,3,9,7,21,15,2 points 9th,17th
Latvia, Moldova,23,25,13,18,24,22nd,11th
Latvia, Norway,25,14,4,24,5,11th,2 points 9th
Latvia, Portugal,14,11,12,8,7,13th,14th
Latvia, Russia,10,10,6,5,18,1 point 10th,10 points 2nd
Latvia, San Marino,8,16,23,17,23,18th,21st
Latvia, Serbia,20,26,25,26,26,26th,25th
Latvia, Spain,22,21,26,16,20,24th,26th
Latvia, Sweden,18,12,21,19,13,19th,1 point 10th
Latvia, Switzerland,4,1,1,9,2,12 points 1st,4 points 7th
Latvia, The Netherlands,16,15,20,14,9,16th,22nd
Latvia, Ukraine,1,13,8,1,14,7 points 4th,6 points 5th
Latvia, United Kingdom,26,6,17,22,21,15th,23rd
Lithuania, Albania,23,22,24,19,24,23rd,25th
Lithuania, Azerbaijan,21,18,20,22,22,21st,14th
Lithuania, Belgium,6,4,3,3,1,7 points 4th,2 points 9th
Lithuania, Bulgaria,7,13,8,11,15,2 points 9th,18th
Lithuania, Cyprus,13,15,21,15,17,18th,11th
Lithuania, Finland,12,10,10,12,10,11th,7 points 4th
Lithuania, France,2,5,6,7,14,5 points 6th,8 points 3rd
Lithuania, Germany,14,12,14,10,8,12th,13th
Lithuania, Greece,8,14,19,13,16,15th,17th
Lithuania, Iceland,10,7,11,5,9,4 points 7th,3 points 8th
Lithuania, Israel,11,16,7,20,7,1 point 10th,16th
Lithuania, Italy,1,2,4,6,4,10 points 2nd,10 points 2nd
Lithuania, Malta,15,8,9,8,5,3 points 8th,15th
Lithuania, Moldova,25,25,23,25,23,25th,22nd
Lithuania, Norway,9,20,17,17,6,13th,5 points 6th
Lithuania, Portugal,4,1,5,4,12,6 points 5th,12th
Lithuania, Russia,16,21,16,24,19,19th,4 points 7th
Lithuania, San Marino,18,24,22,21,20,22nd,19th
Lithuania, Serbia,24,23,25,23,21,24th,21st
Lithuania, Spain,22,19,12,16,13,17th,24th
Lithuania, Sweden,17,9,13,14,18,16th,1 point 10th
Lithuania, Switzerland,5,6,2,2,2,8 points 3rd,6 points 5th
Lithuania, The Netherlands,19,11,15,9,11,14th,23rd
Lithuania, Ukraine,3,3,1,1,3,12 points 1st,12 points 1st
Lithuania, United Kingdom,20,17,18,18,25,20th,20th
Malta, Albania,3,22,3,3,19,12 points 1st,18th
Malta, Azerbaijan,10,23,12,7,5,14th,12th
Malta, Belgium,11,18,18,18,14,21st,22nd
Malta, Bulgaria,25,7,6,16,10,16th,11th
Malta, Cyprus,16,21,2,6,7,4 points 7th,2 points 9th
Malta, Finland,5,2,11,22,22,2 points 9th,7 points 4th
Malta, France,23,12,1,15,6,3 points 8th,3 points 8th
Malta, Germany,8,25,24,19,23,22nd,19th
Malta, Greece,20,11,4,1,11,6 points 5th,17th
Malta, Iceland,2,19,16,9,18,12th,5 points 6th
Malta, Israel,14,20,17,17,13,24th,21st
Malta, Italy,18,9,13,4,8,11th,12 points 1st
Malta, Lithuania,19,8,7,13,15,17th,6 points 5th
Malta, Moldova,15,14,22,2,12,13th,24th
Malta, Norway,7,24,15,8,25,19th,10 points 2nd
Malta, Portugal,22,1,19,12,2,7 points 4th,15th
Malta, Russia,13,16,21,14,16,23rd,16th
Malta, San Marino,4,5,9,23,17,1 point 10th,20th
Malta, Serbia,6,17,25,20,9,18th,4 points 7th
Malta, Spain,24,10,20,21,24,25th,23rd
Malta, Sweden,21,15,5,5,1,8 points 3rd,8 points 3rd
Malta, Switzerland,1,6,14,25,4,10 points 2nd,13th
Malta, The Netherlands,17,13,8,10,21,20th,25th
Malta, Ukraine,9,4,10,24,3,5 points 6th,1 point 10th
Malta, United Kingdom,12,3,23,11,20,15th,14th
Moldova, Albania,11,12,17,13,8,14th,22nd
Moldova, Azerbaijan,8,5,4,23,6,6 points 5th,1 point 10th
Moldova, Belgium,22,4,8,16,24,12th,20th
Moldova, Bulgaria,2,1,1,3,1,12 points 1st,12th
Moldova, Cyprus,4,11,14,8,25,1 point 10th,13th
Moldova, Finland,21,21,19,7,23,16th,5 points 6th
Moldova, France,1,8,18,20,9,4 points 7th,6 points 5th
Moldova, Germany,16,20,25,11,13,20th,17th
Moldova, Greece,6,2,3,5,3,8 points 3rd,7 points 4th
Moldova, Iceland,15,18,10,1,7,5 points 6th,11th
Moldova, Israel,14,14,15,21,17,22nd,18th
Moldova, Italy,18,24,9,25,18,21st,8 points 3rd
Moldova, Lithuania,20,6,23,18,22,15th,2 points 9th
Moldova, Malta,3,13,6,2,11,7 points 4th,14th
Moldova, Norway,17,17,22,14,10,18th,15th
Moldova, Portugal,13,10,12,6,5,2 points 9th,16th
Moldova, Russia,5,3,2,4,2,10 points 2nd,12 points 1st
Moldova, San Marino,9,22,5,12,16,13th,19th
Moldova, Serbia,12,15,13,19,15,17th,21st
Moldova, Spain,19,19,16,9,19,19th,24th
Moldova, Sweden,24,23,20,24,21,25th,3 points 8th
Moldova, Switzerland,7,9,11,10,4,3 points 8th,4 points 7th
Moldova, The Netherlands,23,25,21,15,14,23rd,23rd
Moldova, Ukraine,10,7,7,22,12,11th,10 points 2nd
Moldova, United Kingdom,25,16,24,17,20,24th,25th
North Macedonia, Albania,5,18,11,18,11,12th,10 points 2nd
North Macedonia, Azerbaijan,16,15,10,11,22,18th,3 points 8th
North Macedonia, Belgium,12,6,25,16,14,14th,23rd
North Macedonia, Bulgaria,15,8,20,22,9,15th,11th
North Macedonia, Cyprus,10,12,15,9,4,2 points 9th,6 points 5th
North Macedonia, Finland,20,17,21,17,18,22nd,2 points 9th
North Macedonia, France,2,2,6,7,10,7 points 4th,5 points 6th
North Macedonia, Germany,24,21,19,21,26,25th,24th
North Macedonia, Greece,14,16,12,10,17,17th,16th
North Macedonia, Iceland,26,9,5,3,16,4 points 7th,12th
North Macedonia, Israel,4,7,1,8,5,8 points 3rd,22nd
North Macedonia, Italy,7,1,3,1,6,10 points 2nd,8 points 3rd
North Macedonia, Lithuania,25,22,26,23,20,26th,17th
North Macedonia, Malta,9,5,2,5,7,5 points 6th,13th
North Macedonia, Moldova,22,20,17,26,23,24th,15th
North Macedonia, Norway,18,23,8,19,19,19th,18th
North Macedonia, Portugal,11,26,7,15,8,13th,21st
North Macedonia, Russia,8,11,4,13,21,1 point 10th,1 point 10th
North Macedonia, San Marino,17,14,22,20,25,21st,19th
North Macedonia, Serbia,1,3,9,2,2,12 points 1st,12 points 1st
North Macedonia, Spain,23,19,14,24,13,20th,25th
North Macedonia, Sweden,19,13,16,14,1,3 points 8th,14th
North Macedonia, Switzerland,3,4,23,4,3,6 points 5th,7 points 4th
North Macedonia, The Netherlands,13,24,18,25,24,23rd,26th
North Macedonia, Ukraine,6,25,24,6,15,11th,4 points 7th
North Macedonia, United Kingdom,21,10,13,12,12,16th,20th
Norway, Albania,13,18,11,22,20,19th,21st
Norway, Azerbaijan,8,11,6,11,16,11th,1 point 10th
Norway, Belgium,21,19,18,18,22,22nd,22nd
Norway, Bulgaria,23,4,19,7,1,6 points 5th,16th
Norway, Cyprus,12,8,23,9,17,15th,13th
Norway, Finland,16,16,4,15,9,13th,6 points 5th
Norway, France,6,6,9,8,8,4 points 7th,4 points 7th
Norway, Germany,24,22,24,24,25,25th,14th
Norway, Greece,10,7,13,5,23,1 point 10th,19th
Norway, Iceland,4,13,15,14,7,2 points 9th,10 points 2nd
Norway, Israel,2,5,3,3,13,8 points 3rd,18th
Norway, Italy,7,20,12,6,3,5 points 6th,7 points 4th
Norway, Lithuania,25,14,10,16,15,18th,12 points 1st
Norway, Malta,1,2,1,4,2,12 points 1st,3 points 8th
Norway, Moldova,17,24,25,25,19,23rd,25th
Norway, Portugal,14,15,14,10,11,17th,12th
Norway, Russia,9,12,8,23,18,16th,11th
Norway, San Marino,15,17,21,12,21,20th,17th
Norway, Serbia,19,25,22,20,24,24th,15th
Norway, Spain,22,23,20,19,14,21st,23rd
Norway, Sweden,3,1,17,1,6,10 points 2nd,8 points 3rd
Norway, Switzerland,18,3,5,2,5,7 points 4th,2 points 9th
Norway, The Netherlands,11,10,16,17,4,12th,20th
Norway, Ukraine,5,21,2,21,10,3 points 8th,5 points 6th
Norway, United Kingdom,20,9,7,13,12,14th,24th
Poland, Albania,14,9,25,18,15,18th,23rd
Poland, Azerbaijan,21,21,23,22,20,26th,12th
Poland, Belgium,26,17,17,6,1,3 points 8th,19th
Poland, Bulgaria,22,12,14,13,24,21st,15th
Poland, Cyprus,13,20,11,15,17,19th,16th
Poland, Finland,10,11,8,7,10,2 points 9th,6 points 5th
Poland, France,20,14,6,16,19,13th,5 points 6th
Poland, Germany,8,25,18,24,21,20th,18th
Poland, Greece,15,19,19,8,14,15th,14th
Poland, Iceland,2,1,4,1,4,10 points 2nd,8 points 3rd
Poland, Israel,5,4,5,10,9,6 points 5th,22nd
Poland, Italy,17,22,7,2,5,5 points 6th,10 points 2nd
Poland, Lithuania,23,24,24,14,23,24th,4 points 7th
Poland, Malta,6,5,12,9,7,4 points 7th,11th
Poland, Moldova,24,23,26,17,6,16th,21st
Poland, Norway,25,26,15,26,26,25th,3 points 8th
Poland, Portugal,4,7,3,5,2,8 points 3rd,17th
Poland, Russia,3,8,21,25,13,1 point 10th,2 points 9th
Poland, San Marino,1,2,1,3,3,12 points 1st,13th
Poland, Serbia,18,16,20,21,25,23rd,20th
Poland, Spain,19,18,13,23,11,22nd,24th
Poland, Sweden,11,15,16,11,18,17th,1 point 10th
Poland, Switzerland,7,3,2,4,8,7 points 4th,7 points 4th
Poland, The Netherlands,16,6,10,19,22,12th,25th
Poland, Ukraine,9,13,22,20,12,14th,12 points 1st
Poland, United Kingdom,12,10,9,12,16,11th,26th
Portugal, Albania,18,17,17,21,13,19th,24th
Portugal, Azerbaijan,14,14,11,11,14,15th,21st
Portugal, Belgium,9,2,3,9,9,5 points 6th,18th
Portugal, Bulgaria,1,1,10,2,5,12 points 1st,13th
Portugal, Cyprus,16,18,12,16,23,16th,19th
Portugal, Finland,6,13,20,22,3,11th,5 points 6th
Portugal, France,7,5,8,12,1,6 points 5th,12 points 1st
Portugal, Germany,22,12,25,23,15,20th,17th
Portugal, Greece,17,22,22,15,22,22nd,2 points 9th
Portugal, Iceland,3,6,4,5,7,8 points 3rd,3 points 8th
Portugal, Israel,8,8,18,14,10,14th,16th
Portugal, Italy,12,3,16,1,11,3 points 8th,7 points 4th
Portugal, Lithuania,20,20,14,4,8,12th,14th
Portugal, Malta,4,9,7,6,4,4 points 7th,15th
Portugal, Moldova,19,24,23,13,16,21st,8 points 3rd
Portugal, Norway,23,21,24,18,24,25th,11th
Portugal, Russia,5,11,2,3,6,10 points 2nd,1 point 10th
Portugal, San Marino,24,25,15,17,12,18th,23rd
Portugal, Serbia,11,10,9,7,17,13th,20th
Portugal, Spain,15,19,19,25,25,23rd,12th
Portugal, Sweden,13,23,13,20,18,17th,4 points 7th
Portugal, Switzerland,2,15,6,8,2,7 points 4th,6 points 5th
Portugal, The Netherlands,10,4,5,19,20,1 point 10th,22nd
Portugal, Ukraine,21,7,1,10,19,2 points 9th,10 points 2nd
Portugal, United Kingdom,25,16,21,24,21,24th,25th
Romania, Albania,9,26,18,10,17,16th,20th
Romania, Azerbaijan,19,19,16,20,24,24th,4 points 7th
Romania, Belgium,12,6,26,16,26,12th,24th
Romania, Bulgaria,10,15,13,4,6,2 points 9th,14th
Romania, Cyprus,16,20,8,13,19,17th,16th
Romania, Finland,3,4,11,3,3,8 points 3rd,6 points 5th
Romania, France,6,7,5,6,9,4 points 7th,8 points 3rd
Romania, Germany,20,10,12,7,15,1 point 10th,23rd
Romania, Greece,15,18,15,21,16,23rd,21st
Romania, Iceland,26,9,14,26,13,18th,12th
Romania, Israel,8,16,19,12,10,11th,1 point 10th
Romania, Italy,4,12,3,18,18,3 points 8th,10 points 2nd
Romania, Lithuania,22,11,7,24,20,15th,3 points 8th
Romania, Malta,1,1,2,1,1,12 points 1st,2 points 9th
Romania, Moldova,5,5,10,5,7,6 points 5th,12 points 1st
Romania, Norway,18,17,23,9,25,21st,13th
Romania, Portugal,2,3,4,2,4,10 points 2nd,22nd
Romania, Russia,23,22,9,19,12,19th,18th
Romania, San Marino,25,24,20,25,21,26th,17th
Romania, Serbia,13,25,22,23,11,22nd,11th
Romania, Spain,24,14,25,8,23,20th,19th
Romania, Sweden,14,13,21,14,8,13th,15th
Romania, Switzerland,11,8,1,22,2,7 points 4th,5 points 6th
Romania, The Netherlands,7,21,17,15,14,14th,26th
Romania, Ukraine,21,2,6,11,5,5 points 6th,7 points 4th
Romania, United Kingdom,17,23,24,17,22,25th,25th
Russia, Albania,16,15,23,6,14,12th,18th
Russia, Azerbaijan,3,1,8,5,4,8 points 3rd,4 points 7th
Russia, Belgium,9,13,4,22,9,3 points 8th,16th
Russia, Bulgaria,10,8,6,2,3,6 points 5th,20th
Russia, Cyprus,25,6,14,8,7,2 points 9th,12 points 1st
Russia, Finland,13,11,20,12,11,14th,8 points 3rd
Russia, France,18,14,18,16,17,20th,6 points 5th
Russia, Germany,8,25,19,25,24,18th,14th
Russia, Greece,7,3,3,10,2,7 points 4th,15th
Russia, Iceland,22,19,11,18,13,16th,1 point 10th
Russia, Israel,4,4,10,4,6,5 points 6th,19th
Russia, Italy,1,5,2,7,5,10 points 2nd,10 points 2nd
Russia, Lithuania,15,18,15,23,20,22nd,2 points 9th
Russia, Malta,5,7,7,3,10,4 points 7th,13th
Russia, Moldova,2,2,1,1,1,12 points 1st,3 points 8th
Russia, Norway,17,23,25,14,22,24th,11th
Russia, Portugal,20,12,9,20,15,15th,22nd
Russia, San Marino,11,22,22,24,12,19th,21st
Russia, Serbia,23,16,24,17,16,23rd,17th
Russia, Spain,19,21,21,19,19,25th,23rd
Russia, Sweden,6,9,12,21,18,11th,12th
Russia, Switzerland,24,10,5,11,21,1 point 10th,5 points 6th
Russia, The Netherlands,14,17,17,15,23,21st,24th
Russia, Ukraine,12,24,13,13,8,13th,7 points 4th
Russia, United Kingdom,21,20,16,9,25,17th,25th
San Marino, Albania,10,6,11,14,7,2 points 9th,19th
San Marino, Azerbaijan,20,15,18,19,21,23rd,15th
San Marino, Belgium,6,20,22,12,8,13th,23rd
San Marino, Bulgaria,5,11,9,6,13,3 points 8th,2 points 9th
San Marino, Cyprus,9,14,13,16,11,17th,8 points 3rd
San Marino, Finland,14,3,24,10,16,1 point 10th,4 points 7th
San Marino, France,1,2,1,3,1,12 points 1st,10 points 2nd
San Marino, Germany,24,21,25,9,19,19th,21st
San Marino, Greece,4,9,4,4,2,8 points 3rd,7 points 4th
San Marino, Iceland,16,8,16,8,10,12th,13th
San Marino, Israel,13,23,15,17,17,20th,18th
San Marino, Italy,2,1,5,1,4,10 points 2nd,12 points 1st
San Marino, Lithuania,3,10,8,15,6,6 points 5th,12th
San Marino, Malta,7,4,2,20,3,7 points 4th,17th
San Marino, Moldova,8,5,12,18,5,5 points 6th,6 points 5th
San Marino, Norway,19,22,20,21,25,24th,14th
San Marino, Portugal,23,19,6,7,24,15th,20th
San Marino, Russia,11,16,17,5,15,14th,1 point 10th
San Marino, Serbia,25,24,21,2,14,11th,16th
San Marino, Spain,22,18,23,25,23,25th,22nd
San Marino, Sweden,17,12,7,11,18,16th,11th
San Marino, Switzerland,12,7,3,23,9,4 points 7th,3 points 8th
San Marino, The Netherlands,18,25,19,13,20,21st,25th
San Marino, Ukraine,15,13,10,24,12,18th,5 points 6th
San Marino, United Kingdom,21,17,14,22,22,22nd,24th
Serbia, Albania,23,21,17,20,23,23rd,11th
Serbia, Azerbaijan,13,19,12,21,20,20th,4 points 7th
Serbia, Belgium,18,22,23,22,22,24th,21st
Serbia, Bulgaria,1,7,9,19,8,6 points 5th,12th
Serbia, Cyprus,20,18,22,25,15,22nd,2 points 9th
Serbia, Finland,2,4,14,1,4,10 points 2nd,7 points 4th
Serbia, France,8,1,1,5,3,12 points 1st,10 points 2nd
Serbia, Germany,17,25,25,24,24,25th,18th
Serbia, Greece,4,14,15,7,6,3 points 8th,3 points 8th
Serbia, Iceland,11,12,4,2,2,7 points 4th,5 points 6th
Serbia, Israel,22,13,8,3,7,2 points 9th,20th
Serbia, Italy,7,3,6,9,1,8 points 3rd,12 points 1st
Serbia, Lithuania,21,10,18,17,14,18th,13th
Serbia, Malta,10,5,10,11,11,11th,16th
Serbia, Moldova,5,20,24,16,18,16th,22nd
Serbia, Norway,14,6,21,13,9,15th,17th
Serbia, Portugal,3,8,19,4,16,5 points 6th,19th
Serbia, Russia,19,17,7,14,13,17th,6 points 5th
Serbia, San Marino,9,9,5,12,19,13th,15th
Serbia, Spain,12,24,20,10,25,19th,23rd
Serbia, Sweden,16,2,13,15,5,4 points 7th,14th
Serbia, Switzerland,24,15,3,8,10,1 point 10th,1 point 10th
Serbia, The Netherlands,15,16,16,18,21,21st,25th
Serbia, Ukraine,25,11,2,23,12,12th,8 points 3rd
Serbia, United Kingdom,6,23,11,6,17,14th,24th
Slovenia, Albania,10,12,9,15,5,11th,12th
Slovenia, Azerbaijan,9,16,14,17,9,16th,16th
Slovenia, Belgium,6,17,4,20,4,6 points 5th,19th
Slovenia, Bulgaria,19,18,16,19,20,20th,20th
Slovenia, Cyprus,13,9,15,7,12,15th,15th
Slovenia, Finland,12,14,13,3,6,4 points 7th,4 points 7th
Slovenia, France,7,8,5,8,16,2 points 9th,6 points 5th
Slovenia, Germany,24,24,22,24,24,24th,17th
Slovenia, Greece,18,10,10,11,2,3 points 8th,8 points 3rd
Slovenia, Iceland,1,6,3,1,8,10 points 2nd,3 points 8th
Slovenia, Israel,5,11,8,14,7,1 point 10th,22nd
Slovenia, Italy,3,7,2,2,1,12 points 1st,10 points 2nd
Slovenia, Lithuania,21,22,20,16,10,18th,14th
Slovenia, Malta,11,3,12,5,17,5 points 6th,13th
Slovenia, Moldova,23,26,24,22,19,23rd,26th
Slovenia, Norway,17,4,17,13,14,14th,2 points 9th
Slovenia, Portugal,14,20,19,18,18,19th,18th
Slovenia, Russia,2,1,1,9,13,8 points 3rd,1 point 10th
Slovenia, San Marino,26,19,26,21,22,22nd,21st
Slovenia, Serbia,16,5,11,10,15,13th,12 points 1st
Slovenia, Spain,22,21,21,23,21,21st,23rd
Slovenia, Sweden,15,13,18,6,23,17th,11th
Slovenia, Switzerland,4,2,6,4,3,7 points 4th,5 points 6th
Slovenia, The Netherlands,25,23,23,25,25,26th,24th
Slovenia, Ukraine,8,15,7,12,11,12th,7 points 4th
Slovenia, United Kingdom,20,25,25,26,26,25th,25th
Spain, Albania,16,17,13,19,12,17th,25th
Spain, Azerbaijan,12,11,18,15,24,14th,17th
Spain, Belgium,18,18,15,12,22,19th,22nd
Spain, Bulgaria,13,8,5,4,7,4 points 7th,8 points 3rd
Spain, Cyprus,7,6,10,2,6,6 points 5th,13th
Spain, Finland,21,22,20,17,19,23rd,2 points 9th
Spain, France,1,1,1,3,1,12 points 1st,12 points 1st
Spain, Germany,15,24,14,18,18,20th,15th
Spain, Greece,8,19,6,9,8,1 point 10th,21st
Spain, Iceland,6,5,4,11,3,7 points 4th,5 points 6th
Spain, Israel,3,9,9,6,10,3 points 8th,20th
Spain, Italy,17,12,21,14,11,13th,10 points 2nd
Spain, Lithuania,11,4,12,7,14,2 points 9th,4 points 7th
Spain, Malta,5,3,2,8,4,8 points 3rd,3 points 8th
Spain, Moldova,20,21,16,21,17,21st,19th
Spain, Norway,23,25,25,23,15,24th,11th
Spain, Portugal,4,7,8,5,5,5 points 6th,1 point 10th
Spain, Russia,19,14,24,22,23,22nd,14th
Spain, San Marino,9,15,22,20,20,18th,16th
Spain, Serbia,14,20,17,24,9,15th,18th
Spain, Sweden,25,16,11,10,13,12th,12th
Spain, Switzerland,2,2,3,1,2,10 points 2nd,7 points 4th
Spain, The Netherlands,24,10,7,13,16,11th,24th
Spain, Ukraine,22,23,23,25,21,25th,6 points 5th
Spain, United Kingdom,10,13,19,16,25,16th,23rd
Sweden, Albania,20,22,22,23,21,25th,15th
Sweden, Azerbaijan,6,21,14,5,12,13th,18th
Sweden, Belgium,13,23,7,10,3,1 point 10th,16th
Sweden, Bulgaria,8,7,17,7,10,12th,19th
Sweden, Cyprus,11,9,16,6,14,16th,14th
Sweden, Finland,12,8,19,18,5,14th,12 points 1st
Sweden, France,2,4,10,9,8,6 points 5th,6 points 5th
Sweden, Germany,21,13,20,12,24,20th,21st
Sweden, Greece,24,20,23,17,19,23rd,17th
Sweden, Iceland,3,12,2,13,7,7 points 4th,10 points 2nd
Sweden, Israel,15,15,4,1,16,4 points 7th,20th
Sweden, Italy,5,1,3,20,6,10 points 2nd,3 points 8th
Sweden, Lithuania,9,10,5,19,22,15th,7 points 4th
Sweden, Malta,7,3,6,2,1,12 points 1st,2 points 9th
Sweden, Moldova,18,18,21,24,25,24th,13th
Sweden, Norway,19,6,11,3,9,2 points 9th,8 points 3rd
Sweden, Portugal,16,17,15,8,2,11th,11th
Sweden, Russia,4,5,9,11,13,3 points 8th,12th
Sweden, San Marino,22,11,18,22,11,19th,23rd
Sweden, Serbia,17,24,13,21,20,21st,1 point 10th
Sweden, Spain,25,25,24,16,17,22nd,24th
Sweden, Switzerland,10,2,8,15,4,5 points 6th,5 points 6th
Sweden, The Netherlands,14,19,12,14,15,18th,22nd
Sweden, Ukraine,1,14,1,25,23,8 points 3rd,4 points 7th
Sweden, United Kingdom,23,16,25,4,18,17th,25th
Switzerland, Albania,10,14,6,10,13,11th,7 points 4th
Switzerland, Azerbaijan,19,10,1,19,11,2 points 9th,19th
Switzerland, Belgium,16,11,22,17,17,20th,21st
Switzerland, Bulgaria,1,4,5,3,7,10 points 2nd,16th
Switzerland, Cyprus,5,9,18,14,21,13th,20th
Switzerland, Finland,11,7,9,5,9,1 point 10th,4 points 7th
Switzerland, France,3,2,8,1,1,12 points 1st,6 points 5th
Switzerland, Germany,25,18,20,22,22,23rd,14th
Switzerland, Greece,6,15,11,15,18,14th,13th
Switzerland, Iceland,15,6,21,4,5,5 points 6th,5 points 6th
Switzerland, Israel,17,20,7,8,23,16th,18th
Switzerland, Italy,14,1,14,2,2,8 points 3rd,10 points 2nd
Switzerland, Lithuania,7,8,3,13,14,4 points 7th,1 point 10th
Switzerland, Malta,8,5,4,7,3,6 points 5th,12th
Switzerland, Moldova,24,24,17,25,24,24th,23rd
Switzerland, Norway,20,25,25,23,25,25th,15th
Switzerland, Portugal,2,3,16,6,4,7 points 4th,8 points 3rd
Switzerland, Russia,21,17,2,11,6,3 points 8th,11th
Switzerland, San Marino,13,12,12,16,20,18th,24th
Switzerland, Serbia,12,22,10,24,15,19th,12 points 1st
Switzerland, Spain,18,19,13,20,16,21st,17th
Switzerland, Sweden,4,13,23,18,10,12th,3 points 8th
Switzerland, The Netherlands,9,16,24,12,8,15th,22nd
Switzerland, Ukraine,23,21,15,9,12,17th,2 points 9th
Switzerland, United Kingdom,22,23,19,21,19,22nd,25th
The Netherlands, Albania,11,11,9,8,20,1 point 10th,22nd
The Netherlands, Azerbaijan,8,6,18,13,11,2 points 9th,16th
The Netherlands, Belgium,6,3,6,3,6,6 points 5th,15th
The Netherlands, Bulgaria,15,12,16,19,17,17th,14th
The Netherlands, Cyprus,13,24,21,22,24,21st,20th
The Netherlands, Finland,19,14,13,10,15,14th,4 points 7th
The Netherlands, France,2,2,2,2,3,12 points 1st,12 points 1st
The Netherlands, Germany,23,25,24,25,23,25th,18th
The Netherlands, Greece,20,18,11,18,19,18th,10 points 2nd
The Netherlands, Iceland,1,10,1,4,1,10 points 2nd,8 points 3rd
The Netherlands, Israel,9,4,3,5,7,4 points 7th,17th
The Netherlands, Italy,12,13,17,12,12,13th,2 points 9th
The Netherlands, Lithuania,18,15,14,11,13,15th,3 points 8th
The Netherlands, Malta,3,5,4,7,2,7 points 4th,1 point 10th
The Netherlands, Moldova,25,23,23,24,25,24th,25th
The Netherlands, Norway,16,17,20,16,10,16th,13th
The Netherlands, Portugal,5,16,12,17,14,12th,6 points 5th
The Netherlands, Russia,4,1,5,6,4,8 points 3rd,11th
The Netherlands, San Marino,21,21,19,14,16,20th,21st
The Netherlands, Serbia,24,22,22,23,22,23rd,19th
The Netherlands, Spain,14,19,15,21,18,19th,24th
The Netherlands, Sweden,17,8,10,15,9,11th,12th
The Netherlands, Switzerland,7,7,7,1,5,5 points 6th,7 points 4th
The Netherlands, Ukraine,10,9,8,9,8,3 points 8th,5 points 6th
The Netherlands, United Kingdom,22,20,25,20,21,22nd,23rd
Ukraine, Albania,23,22,15,24,22,24th,21st
Ukraine, Azerbaijan,9,15,11,8,3,3 points 8th,3 points 8th
Ukraine, Belgium,3,10,3,5,20,6 points 5th,1 point 10th
Ukraine, Bulgaria,14,9,16,10,16,14th,17th
Ukraine, Cyprus,8,12,13,18,24,16th,15th
Ukraine, Finland,19,14,9,14,14,17th,8 points 3rd
